Record_ID,Asset_ID,Asset_Type,Unit,Location,Status,Maintenance_Type,Maintenance_Date,Maintenance_Days,Maintenance_Cost_INR,Inventory_Item,Inventory_Stock,Reorder_Level,Quantity,Stock_Status
REC-0001,AST-1089,Cooling System,Unit E,Jodhpur,Operational,,2026-04-30,2,0.0,Sensor,84.0,20,4,OK
REC-0002,AST-1100,Cooling System,Unit B,Jaipur,Standby,,2026-02-16,2,0.0,Sensor,42.0,40,1,OK
REC-0003,AST-1007,Vehicle,Unit E,Ahmedabad,Under Maintenance,Preventive,2025-03-25,5,32159.0,Battery,81.0,48,15,OK
REC-0004,AST-1133,Vehicle,Unit E,Jaipur,Operational,,2025-04-23,0,0.0,Fuse,130.0,25,13,OK
REC-0005,AST-1045,Cooling System,Unit D,Jodhpur,Operational,,2025-11-28,1,0.0,Sensor,91.0,56,8,OK
REC-0006,AST-1058,Generator,Unit A,Jaipur,Operational,,2026-01-13,0,0.0,Fuse,58.0,20,4,OK
REC-0007,AST-1031,Communication Equipment,Unit C,Jodhpur,Operational,,2025-02-10,0,0.0,Cable,20.0,20,10,OK
REC-0008,AST-1023,Radar Unit,Unit A,Unknown,Under Maintenance,Inspection,2025-04-15,30,10532.0,Battery,32.0,46,19,Low Stock
REC-0009,AST-1138,Vehicle,Unit D,Delhi,Operational,,2025-07-21,0,0.0,Connector,50.0,40,18,OK
REC-0010,AST-1107,Vehicle,Unit C,Ahmedabad,Under Maintenance,Corrective,2026-03-26,3,22458.0,Sensor,76.0,35,5,OK
REC-0011,AST-1039,Cooling System,Unit E,Jodhpur,Operational,,2025-09-23,1,0.0,Filter,89.0,59,19,OK
REC-0012,AST-1082,Power Unit,Unit D,Jaipur,Standby,,2025-07-29,0,0.0,Cable,30.0,45,16,Low Stock
REC-0013,AST-1100,Radar Unit,Unit E,Ahmedabad,Under Maintenance,Inspection,2025-04-28,16,4431.0,Fuse,89.0,35,1,OK
REC-0014,AST-1002,Radar Unit,Unit B,Delhi,Operational,Inspection,2026-01-12,2,4471.0,Sensor,69.0,47,12,OK
REC-0015,AST-1077,Vehicle,Unit D,Chandigarh,Operational,,2026-06-24,0,0.0,Battery,138.0,20,2,OK
REC-0016,AST-1012,Generator,Unit B,Ahmedabad,Operational,Corrective,2025-03-25,0,65195.0,Connector,119.0,55,8,OK
REC-0017,AST-1039,Power Unit,Unit D,Jodhpur,Operational,Preventive,2026-03-30,1,22735.0,Lubricant,68.0,29,18,OK
REC-0018,AST-1013,Radar Unit,Unit D,Delhi,Operational,,2026-05-29,2,0.0,Connector,91.0,36,16,OK
REC-0019,AST-1046,Vehicle,Unit B,Jaipur,Operational,,2026-01-22,0,0.0,Filter,111.0,42,5,OK
REC-0020,AST-1113,Radar Unit,Unit C,Delhi,Operational,,2025-12-16,2,0.0,Fuse,100.0,26,13,OK
REC-0021,AST-1017,Power Unit,Unit A,Delhi,Operational,,2025-10-23,1,0.0,Cable,81.0,26,19,OK
REC-0022,AST-1104,Power Unit,Unit E,Pune,Operational,,2025-09-15,2,0.0,Connector,150.0,34,3,OK
REC-0023,AST-1098,Communication Equipment,Unit D,Delhi,Operational,Preventive,2025-03-22,1,17692.0,Battery,91.0,53,8,OK
REC-0024,AST-1088,Cooling System,Unit E,Delhi,Operational,,2025-09-25,1,0.0,Filter,61.0,23,12,OK
REC-0025,AST-1109,Cooling System,Unit B,Ahmedabad,Operational,,2026-02-23,0,0.0,Battery,107.0,33,2,OK
REC-0026,AST-1070,Vehicle,Unit E,Jaipur,Under Maintenance,Corrective,2025-08-23,19,25296.0,Sensor,95.0,33,11,OK
REC-0027,AST-1074,Power Unit,Unit B,Ahmedabad,Operational,,2025-11-07,1,0.0,Lubricant,49.0,35,12,OK
REC-0028,AST-1063,Communication Equipment,Unit E,Ahmedabad,Operational,,2025-12-23,1,0.0,Cable,92.0,26,18,OK
REC-0029,AST-1060,Communication Equipment,Unit A,Jodhpur,Operational,,2025-08-01,0,0.0,Battery,119.0,51,13,OK
REC-0030,AST-1079,Radar Unit,Unit A,Ahmedabad,Operational,,2025-02-18,1,0.0,Fuse,51.0,38,5,OK
REC-0031,AST-1037,Radar Unit,Unit A,Pune,Operational,,2025-05-07,0,0.0,Sensor,139.0,21,12,OK
REC-0032,AST-1022,Communication Equipment,Unit A,Pune,Operational,,2025-08-11,0,0.0,Sensor,54.0,29,2,OK
REC-0033,AST-1148,Radar Unit,Unit A,Jodhpur,Operational,,2025-10-06,0,0.0,Cable,88.0,36,5,OK
REC-0034,AST-1096,Power Unit,Unit A,Chandigarh,Standby,Preventive,2026-02-12,0,37134.0,Sensor,95.0,56,7,OK
REC-0035,AST-1068,Generator,Unit B,Jaipur,Standby,Preventive,2026-05-20,0,17345.0,Fuse,138.0,31,12,OK
REC-0036,AST-1017,Power Unit,Unit D,Jaipur,Under Maintenance,Corrective,2025-10-21,8,36452.0,Battery,95.0,25,16,OK
REC-0037,AST-1012,Communication Equipment,Unit E,Ahmedabad,Operational,,2025-10-04,0,0.0,Cable,141.0,41,8,OK
REC-0038,AST-1150,Communication Equipment,Unit A,Ahmedabad,Operational,,2026-03-14,0,0.0,Sensor,113.0,51,9,OK
REC-0039,AST-1145,Power Unit,Unit B,Chandigarh,Under Maintenance,Corrective,2025-04-17,27,82450.0,Sensor,61.0,60,15,OK
REC-0040,AST-1138,Radar Unit,Unit B,Ahmedabad,Operational,,2026-02-24,0,0.0,Fuse,35.0,39,5,Low Stock
REC-0041,AST-1118,Radar Unit,Unit B,Jaipur,Operational,Preventive,2026-03-05,0,16486.0,Lubricant,25.0,20,13,OK
REC-0042,AST-1022,Cooling System,Unit D,Delhi,Operational,,2026-01-10,0,0.0,Lubricant,,25,5,Unknown
REC-0043,AST-1120,Communication Equipment,Unit E,Pune,Operational,,2025-03-14,2,0.0,Connector,44.0,38,11,OK
REC-0044,AST-1050,Vehicle,Unit D,Delhi,Standby,Corrective,2025-01-30,2,30356.0,Sensor,116.0,37,10,OK
REC-0045,AST-1014,Cooling System,Unit C,Delhi,Operational,,2025-07-07,0,0.0,Battery,49.0,25,20,OK
REC-0046,AST-1029,Radar Unit,Unit B,Jaipur,Operational,,2025-12-30,1,0.0,Cable,81.0,52,13,OK
REC-0047,AST-1125,Power Unit,Unit C,Delhi,Operational,,2026-03-27,0,0.0,Sensor,91.0,42,9,OK
REC-0048,AST-1007,Radar Unit,Unit A,Chandigarh,Operational,,2025-07-14,1,0.0,Filter,105.0,42,14,OK
REC-0049,AST-1029,Power Unit,Unit A,Jodhpur,Operational,Corrective,2025-06-05,0,75620.0,Cable,121.0,45,18,OK
REC-0050,AST-1139,Cooling System,Unit D,Ahmedabad,Operational,,2025-06-21,2,0.0,Connector,96.0,32,15,OK
REC-0051,AST-1033,Communication Equipment,Unit E,Jodhpur,Standby,,2025-02-10,2,0.0,Lubricant,149.0,26,10,OK
REC-0052,AST-1134,Radar Unit,Unit C,Pune,Under Maintenance,Corrective,2025-03-04,29,32387.0,Sensor,32.0,34,7,Low Stock
REC-0053,AST-1111,Power Unit,Unit E,Ahmedabad,Standby,Corrective,2025-01-23,0,20591.0,Fuse,29.0,46,8,Low Stock
REC-0054,AST-1079,Communication Equipment,Unit D,Delhi,Standby,,2025-12-26,1,0.0,Filter,62.0,45,3,OK
REC-0055,AST-1058,Vehicle,Unit A,Pune,Operational,,2025-03-16,2,0.0,Sensor,45.0,52,15,Low Stock
REC-0056,AST-1026,Power Unit,Unit E,Ahmedabad,Standby,Inspection,2025-04-28,0,3845.0,Connector,138.0,34,16,OK
REC-0057,AST-1029,Cooling System,Unit E,Chandigarh,Operational,Preventive,2026-01-15,0,39954.0,Battery,79.0,55,4,OK
REC-0058,AST-1004,Vehicle,Unit A,Chandigarh,Operational,,2025-10-17,1,0.0,Filter,42.0,46,6,Low Stock
REC-0059,AST-1099,Vehicle,Unit C,Chandigarh,Operational,,2026-03-16,0,0.0,Connector,138.0,24,1,OK
REC-0060,AST-1141,Generator,Unit A,Chandigarh,Operational,,2025-01-07,1,0.0,Sensor,79.0,21,4,OK
REC-0061,AST-1039,Radar Unit,Unit E,Delhi,Operational,,2025-07-15,2,0.0,Battery,146.0,52,11,OK
REC-0062,AST-1015,Power Unit,Unit C,Jodhpur,Operational,,2026-02-25,2,0.0,Filter,70.0,35,12,OK
REC-0063,AST-1119,Vehicle,Unit C,Ahmedabad,Under Maintenance,Inspection,2025-07-12,26,3830.0,Battery,7.0,42,5,Low Stock
REC-0064,AST-1029,Generator,Unit A,Delhi,Operational,,2025-05-28,2,0.0,Battery,121.0,57,16,OK
REC-0065,AST-1075,Cooling System,Unit E,Chandigarh,Operational,,2025-07-21,2,0.0,Filter,103.0,35,13,OK
REC-0066,AST-1116,Communication Equipment,Unit D,Jodhpur,Operational,,2026-03-20,0,0.0,Filter,23.0,33,13,Low Stock
